,KG1a_Ctrl_Nonresponsive_116,KG1a_T0_Nonresponsive_117,KG1a_LGT_Nonresponsive_118,KG1a_SYT_Nonresponsive_119,KG1a_ComboT_Nonresponsive_120
FBXL3_ENSG00000005812.11,3707.427237,3540.186526,3115.105437,3943.132215,3642.267984
ITGAL_ENSG00000005844.19,43503.91518,38292.69567,31358.67203,53441.4502,48790.81222
PDK2_ENSG00000005882.12,2145.23522,1783.429897,1332.283356,1932.664746,2099.033358
ITGA3_ENSG00000005884.18,2655.524333,2428.187173,2393.066697,3329.731036,3549.146805
ZFX_ENSG00000005889.16,3533.625796,3504.315579,2980.616265,3681.534654,3497.608039
LAMP2_ENSG00000005893.16,12500.56755,11287.39128,7491.046857,11517.05818,10489.89578
ITGA2B_ENSG00000005961.19,66458.84147,59617.5137,37580.47733,44056.63767,31873.21245
ASB4_ENSG00000005981.13,71.74361782,68.98259013,136.1702862,74.41999606,69.10879917
GDE1_ENSG00000006007.12,6377.098198,5204.966368,3780.826836,5465.359408,5159.733226
REX1BD_ENSG00000006015.18,1802.684707,1541.530948,1241.503165,1595.519612,1482.325175
CRLF1_ENSG00000006016.11,293.0373122,331.1164326,307.64398,334.8899823,293.4195626
OSBPL7_ENSG00000006025.12,2129.067644,2309.537118,1774.416508,1719.552939,1906.348655
TMEM98_ENSG00000006042.12,7.073314433,13.79651803,15.97058913,18.04121117,7.028013475
MAP3K14_ENSG00000006062.18,1575.328172,1387.009946,1062.464455,1337.304778,1347.035916
ABCC8_ENSG00000006071.15,24.25136377,36.79071474,63.8823565,24.80666535,28.69772169
TMEM132A_ENSG00000006118.15,10.1047349,14.7162859,16.81114645,10.14818128,13.47035916
AP2B1_ENSG00000006125.18,28475.14296,24872.3627,17457.53503,26962.59009,25949.76842
ZNF263_ENSG00000006194.10,4036.841594,3618.366794,2758.709132,3587.945871,3288.524639
CX3CL1_ENSG00000006210.7,11.1152084,11.03721442,7.565015901,4.510302792,8.785016844
SPATA20_ENSG00000006282.21,1229.746238,1081.647013,861.5712554,930.2499507,1041.31733
CACNA1G_ENSG00000006283.18,9.094261414,10.11744655,14.28947448,10.14818128,9.370684634
TNFRSF12A_ENSG00000006327.14,229.3774823,170.1570557,173.9953657,250.3218049,308.6469251
